"filename", "language", "Markdown", "Java Properties", "XML", "Java", "comment", "blank", "total"
"c:\software\vscode\code\Java\studentEvaluationManagement\README.md", "Markdown", 149, 0, 0, 0, 0, 43, 192
"c:\software\vscode\code\Java\studentEvaluationManagement\data\studentevaluation.properties", "Java Properties", 0, 3, 0, 0, 2, 1, 6
"c:\software\vscode\code\Java\studentEvaluationManagement\need.md", "Markdown", 109, 0, 0, 0, 0, 66, 175
"c:\software\vscode\code\Java\studentEvaluationManagement\pom.xml", "XML", 0, 0, 81, 0, 6, 10, 97
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\StudentEvaluationManagementSystem.java", "Java", 0, 0, 0, 30, 11, 12, 53
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\model\AcademicAffairsStaff.java", "Java", 0, 0, 0, 53, 20, 18, 91
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\model\Administrator.java", "Java", 0, 0, 0, 28, 19, 9, 56
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\model\ClassRoom.java", "Java", 0, 0, 0, 95, 20, 26, 141
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\model\Course.java", "Java", 0, 0, 0, 78, 14, 22, 114
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\model\CourseOffering.java", "Java", 0, 0, 0, 115, 18, 34, 167
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\model\Evaluation.java", "Java", 0, 0, 0, 182, 35, 43, 260
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\model\EvaluationCriteria.java", "Java", 0, 0, 0, 88, 23, 25, 136
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\model\EvaluationPeriod.java", "Java", 0, 0, 0, 123, 32, 31, 186
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\model\EvaluationTemplate.java", "Java", 0, 0, 0, 129, 36, 32, 197
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\model\Student.java", "Java", 0, 0, 0, 61, 20, 18, 99
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\model\Teacher.java", "Java", 0, 0, 0, 53, 20, 18, 91
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\model\User.java", "Java", 0, 0, 0, 69, 17, 21, 107
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\service\AcademicAffairsStaffService.java", "Java", 0, 0, 0, 211, 37, 47, 295
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\service\AdministratorService.java", "Java", 0, 0, 0, 110, 22, 36, 168
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\service\ClassService.java", "Java", 0, 0, 0, 249, 43, 54, 346
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\service\CourseService.java", "Java", 0, 0, 0, 446, 71, 91, 608
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\service\EvaluationService.java", "Java", 0, 0, 0, 381, 57, 80, 518
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\service\StatisticsService.java", "Java", 0, 0, 0, 279, 31, 53, 363
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\service\StudentService.java", "Java", 0, 0, 0, 246, 40, 46, 332
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\service\TeacherService.java", "Java", 0, 0, 0, 207, 36, 45, 288
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\service\UserService.java", "Java", 0, 0, 0, 152, 32, 27, 211
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\ui\LoginFrame.java", "Java", 0, 0, 0, 220, 42, 47, 309
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\ui\RegisterFrame.java", "Java", 0, 0, 0, 410, 85, 96, 591
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\ui\admin\AdminMainFrame.java", "Java", 0, 0, 0, 1573, 174, 376, 2123
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\ui\staff\StaffMainFrame.java", "Java", 0, 0, 0, 1735, 191, 410, 2336
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\ui\student\StudentEvaluationDialog.java", "Java", 0, 0, 0, 284, 69, 75, 428
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\ui\student\StudentMainFrame.java", "Java", 0, 0, 0, 242, 52, 55, 349
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\ui\teacher\TeacherMainFrame.java", "Java", 0, 0, 0, 308, 65, 71, 444
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\util\DatabaseUtil.java", "Java", 0, 0, 0, 216, 37, 24, 277
"c:\software\vscode\code\Java\studentEvaluationManagement\src\main\java\edu\ai\haut\util\ValidationUtil.java", "Java", 0, 0, 0, 80, 93, 34, 207
"Total", "-", 258, 3, 81, 8453, 1470, 2096, 12361
